City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,colonia,50.9333,6.95,19.58,70,0,1.03,DE,1715328874
309,laguna,38.421,-121.4238,19.4,66,0,1.54,US,1715328875
310,balkanabat,39.5108,54.3671,25.21,30,0,3.95,TM,1715328875
311,igarka,67.4667,86.5833,-0.55,99,100,5.81,RU,1715328877
312,necochea,-38.5473,-58.7368,7.13,65,80,4.53,AR,1715328878
313,ola,59.5833,151.2833,3.97,84,60,1.52,RU,1715328879
314,rongelap,11.1635,166.8941,27.39,74,100,7.71,MH,1715328881
315,nakhon si thammarat,8.25,100.0,29.0,76,100,2.61,TH,1715328882
316,fukuecho,32.6881,128.8419,21.2,64,20,4.63,JP,1715328883
317,buka,40.8108,69.1986,23.19,58,100,2.02,UZ,1715328884
318,vilyuysk,63.7553,121.6247,-0.56,50,100,4.02,RU,1715328885
319,fortaleza,-3.7227,-38.5247,27.07,94,20,4.12,BR,1715328885
320,isiro,2.7739,27.616,29.67,52,63,2.05,CD,1715328886
321,san clemente del tuyu,-36.3569,-56.7235,4.43,65,56,3.02,AR,1715328888
322,sur,22.5667,59.5289,34.13,40,0,5.46,OM,1715328889
323,grants pass,42.439,-123.3284,16.73,73,0,0.0,US,1715328890
324,kalyandurg,14.5452,77.1055,35.62,30,65,0.45,IN,1715328890
325,albu kamal,34.45,40.9186,30.83,14,98,6.75,SY,1715328891
326,kasimov,54.9411,41.3953,9.53,42,58,8.37,RU,1715328892
327,san sebastian de la gomera,28.0916,-17.1133,23.2,56,0,0.51,ES,1715328893
328,kharp,66.8014,65.8081,-0.16,99,100,6.22,RU,1715328894
329,newman,37.3138,-121.0208,18.31,64,0,1.34,US,1715328895
330,tofol,5.3248,163.0078,28.28,74,100,0.92,FM,1715328896
331,strathmore,51.0501,-113.3852,11.07,54,44,3.6,CA,1715328896
332,kashkhatau,43.3185,43.608,10.31,86,100,2.88,RU,1715328897
333,visegrad,43.7847,19.2992,15.48,78,89,1.72,BA,1715328898
334,bardai,11.65,7.2333,31.96,43,87,5.52,NG,1715328899
335,levuka,50.1834,-105.4011,6.84,65,100,3.77,CA,1715328900
336,nuevitas,21.5453,-77.2644,24.34,87,48,3.14,CU,1715328900
337,al kharj,24.155,47.3346,32.32,14,0,2.51,SA,1715328710
338,klyuchi,52.2667,79.1667,23.28,46,100,6.7,RU,1715328902
339,banda aceh,5.5577,95.3222,28.93,77,95,1.64,ID,1715328543
340,waddan,29.1614,16.139,20.27,44,0,7.88,LY,1715328904
341,weno,7.4515,151.8468,28.97,89,100,3.6,FM,1715328905
342,dwarka,22.2394,68.9678,30.54,69,0,6.2,IN,1715328905
343,tchollire,8.4022,14.1698,36.34,31,49,2.5,CM,1715328906
344,tangalle,6.024,80.7911,30.57,66,100,3.07,LK,1715328907
345,port macquarie,-31.4333,152.9167,17.16,71,75,1.07,AU,1715328834
346,mitu,1.1983,-70.1733,22.79,100,100,1.53,CO,1715328715
347,sao felix do xingu,-6.6447,-51.995,22.24,87,99,0.87,BR,1715328909
348,nadym,65.5333,72.5167,1.65,100,100,5.74,RU,1715328910
349,sechura,-5.5569,-80.8222,20.51,79,100,6.05,PE,1715328911
350,namibe,-15.1961,12.1522,23.85,71,74,2.25,AO,1715328912
351,chernyakhovsk,54.6335,21.8156,9.5,98,100,5.39,RU,1715328912
352,el sauzal de rodriguez,31.9,-116.6833,11.9,78,6,1.76,MX,1715328913
353,richards bay,-28.783,32.0377,27.92,37,0,4.13,ZA,1715328668
354,faya-largeau,17.9257,19.1043,39.45,8,54,6.38,TD,1715328914
355,pontianak,-0.0333,109.3333,32.77,66,75,4.12,ID,1715328800
356,cidreira,-30.1811,-50.2056,16.87,70,100,4.59,BR,1715328916
357,kinchil,20.9167,-89.95,28.04,80,88,3.84,MX,1715328917
358,peschanokopskoye,46.1961,41.0775,15.29,43,0,3.14,RU,1715328918
359,kailua-kona,19.6406,-155.9956,23.98,90,100,2.57,US,1715328919
360,manokwari,-0.8667,134.0833,27.34,84,100,1.68,ID,1715328920
361,azna,33.6095,48.9307,20.13,28,0,1.57,IR,1715328920
362,knyaze-volkonskoye,48.4642,135.4567,17.19,20,100,4.92,RU,1715328921
